,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,name,artist_name
229,0.739,0.576,-12.024,0.0472,0.122,0.00206,0.0482,0.78,108.81,All Night Long (All Night) - Single Version,Lionel Richie
230,0.648,0.663,-8.024,0.0914,0.0221,0.000116,0.318,0.688,80.045,HEAR ME NOW,3OH!3
231,0.344,0.0683,-14.155,0.0418,0.991,0.928,0.118,0.252,72.012,Your Song,Elisa Mosel
232,0.533,0.465,-9.349,0.119,0.566,0.0,0.171,0.757,166.894,Ahora Dice,Marcos da costa
233,0.716,0.652,-7.909,0.398,0.102,0.0,0.11,0.494,109.295,FRIENDS (feat. kiLL edward),J. Cole
234,0.756,0.763,-3.059,0.0661,0.0142,0.0,0.139,0.88,110.072,Bank Account,Jakubi
235,0.641,0.984,-5.867,0.0503,0.00107,0.866,0.385,0.342,129.952,Bad Things,No Mana
236,0.58,0.636,-7.661,0.11,0.5,0.00449,0.279,0.253,104.853,Don't Let Me Down (feat. Khalid),Sabrina Claudio
237,0.565,0.631,-5.419,0.116,0.487,0.0,0.223,0.728,125.47,Body Like a Back Road,Justin Champagne
238,0.735,0.932,-3.778,0.156,0.0488,0.0,0.407,0.771,120.056,Now or Never,SF9
239,0.683,0.598,-14.233,0.0387,0.00175,0.018,0.0713,0.913,127.998,Dusk Till Dawn - Radio Edit,Danny Howells
